,Pareto_presence,to_outlet
200000,0,20359.31141298087
200001,0,20259.31141298087
200002,0,20159.31141298087
200003,0,20059.31141298087
200004,0,19959.31141298087
200005,0,19859.31141298087
200006,0,19759.31141298087
200007,0,19659.31141298087
200008,9,19559.31141298087
200009,91,19459.31141298087
200010,0,19359.31141298087
200011,0,19259.31141298087
200012,0,20195.609280274028
200013,19,20095.609280274028
200014,26,19995.609280274028
200015,0,19711.29215451059
200016,0,19611.29215451059
200017,0,18678.871861774376
200018,0,18578.871861774376
200019,25,18478.871861774376
200020,30,18378.871861774376
200021,0,18278.871861774376
200022,0,18178.871861774376
200023,0,20182.618548956427
200024,0,20082.618548956427
200025,0,19982.618548956427
200026,10,19195.198664214506
200027,7,19095.198664214506
200028,0,18995.198664214506
200029,1,18259.290687033637
200030,0,18159.290687033637
200031,1,18059.290687033637
200032,0,19066.67419676649
200033,0,18966.67419676649
200034,8,18373.35703710637
200035,9,18273.35703710637
200036,0,18173.35703710637
200037,35,18073.35703710637
200038,0,18237.565939142853
200039,85,18276.865384227756
200040,65,18176.865384227756
200041,20,18076.865384227756
200042,0,17976.865384227756
200043,15,19215.230634876047
200044,13,19115.230634876047
200045,27,19015.230634876047
200046,69,18915.230634876047
200047,0,18815.230634876047
200048,8,18821.529782128902
200049,0,18721.529782128902
200050,10,18621.529782128902
200051,43,18521.529782128902
200052,14,18421.529782128902
200053,0,18321.529782128902
200054,0,15242.576412568498
200055,7,15142.576412568498
200056,0,15042.576412568498
200057,1,14942.576412568498
200058,8,18782.732975406
200059,0,18682.732975406
200060,0,18269.54109004379
200061,0,15659.31071555221
200062,1,15285.053407651856
200063,1,15185.053407651856
200064,0,15085.053407651856
200065,1,14985.053407651856
200066,28,15693.12977516152
200067,0,15593.12977516152
200068,42,17865.04656797326
200069,0,18594.853644006784
200070,17,15364.003849411454
200071,1,15264.003849411454
200072,0,15164.003849411454
200073,1,15064.003849411454
200074,26,18453.252682048522
200075,0,18515.134319810917
200076,7,18915.20172879895
200077,0,18815.20172879895
200078,0,18491.801826144372
200079,0,18391.801826144372
200080,58,18291.801826144372
200081,0,18191.801826144372
200082,5,14860.108631649915
200083,7,14760.108631649915
200084,0,14660.108631649915
200085,0,18242.646475372592
200086,0,17992.566843862925
200087,0,17892.566843862925
200088,139,17792.566843862925
200089,0,17692.566843862925
200090,7,17847.1355024984
200091,2,17747.1355024984
200092,1,15130.928077702523
200093,55,17664.24227627216
200094,0,17564.24227627216
200095,0,14956.954533390506
200096,0,14856.954533390506
200097,0,18126.455276692148
200098,0,14650.790521965682
200099,0,18176.475144964013
200100,0,14396.709612629904
200101,0,14296.709612629904
200102,0,17609.578603922615
200103,113,17509.578603922615
200104,2,17409.578603922615
200105,8,17309.578603922615
200106,10,18720.595044286605
200107,0,18620.595044286605
200108,0,18520.595044286605
200109,13,14880.719999499079
200110,47,18303.045051209734
200111,0,18203.045051209734
200112,0,18103.045051209734
200113,0,14958.979509408053
200114,1,14858.979509408053
200115,0,14830.32298648239
200116,0,18825.498922115858
200117,7,18725.498922115858
200118,0,18625.498922115858
200119,0,18525.498922115858
200120,0,16920.840652024704
200121,0,16820.840652024704
200122,2,16720.840652024704
200123,0,17956.47106060899
200124,4,17856.47106060899
200125,0,17756.47106060899
200126,20,12682.839097075434
200127,0,12582.839097075434
200128,0,12482.839097075434
200129,25,13383.17096893252
200130,1,13283.17096893252
200131,10,13183.17096893252
200132,0,13083.17096893252
200133,0,12983.17096893252
200134,13,12883.17096893252
200135,2,12783.17096893252
200136,2,12683.17096893252
200137,13,12583.17096893252
200138,0,12483.17096893252
200139,0,14683.386735419275
